document	paired	differing	worst	sum_abs	unpairable_pages
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5__docx	3	0	0.00	1.35	0
License App Instructions 2-22__docx	0	0	0.00	0.00	0
May 25 bulletin focus on carers in the workplace__docx	0	0	0.00	0.00	0
OM template for non-complex NCC operators_August 2016__docx	8	8	72.15	427.80	48
P200904290238_0238_51880__doc	8	8	14.60	90.70	1
PAT-047 - Architecture and Detailed Design Assessment__docx	0	0	0.00	0.00	4
PES-Technical-Report-Template_Jan_2019__docx	0	0	0.00	0.00	0
PI-doc.-no.-2E-Technical-Review-Report__docx	50	0	0.00	3.50	0
PK_FlugzeugeStricken__doc	0	0	0.00	0.00	0
PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th__docx	0	0	0.00	0.00	0
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024__doc	9	0	0.00	0.00	0
Pre-Application_Letter_of_Intent_Example__docx	0	0	0.00	0.00	0
Press release_EUREKA labels ITEA 3 Cluster__docx	0	0	0.00	0.00	0
RMI_Document_Repository_Public-Reprts_GettingOffOil__doc	0	0	0.00	0.00	0
RNW167A-150428__doc	20	5	13.80	70.75	6
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission__docx	0	0	0.00	0.00	0
Reid__doc	0	0	0.00	0.00	0
RobertQ_Service__doc	9	0	0.00	0.00	0
SDL_FSDO_Part91_LOA_Checklist__docx	9	0	0.00	0.00	0
SFSP_2013-02_Bulletin__doc	0	0	0.00	0.00	0
SPA-02_mcar_part-2_and_IS_v2.9__docx	34	22	29.65	143.10	8
SPA-06_mcar_part-6_and_IS_v2.9__docx	65	35	17.03	305.01	15
SPA-11_mcar_part-11_v2.9__docx	17	4	8.45	30.16	2
SWDD-template__docx	0	0	0.00	0.00	0
Sample_PAO-PSO_91-113_Letter__docx	0	0	0.00	0.00	0
Sample_SQMS_Program__docx	42	24	5.95	107.40	6
Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION__docx	0	0	0.00	0.00	0
Software Architecture Document Template__docx	5	0	0.00	1.25	1
Sol PJ14-03-04 Solution Contextual__docx	0	0	0.00	0.00	0
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	32	0	0.00	1.70	9
Technical Report and Technical Update Guidelines__docx	0	0	0.00	0.00	0
Technical_Issue_Report_Form__docx	15	3	1.15	3.45	0
Temp16__doc	6	0	0.00	0.80	0
Theft-Restitution-Letter-Vancouver-ASC-2005__doc	0	0	0.00	0.00	0
UAS-SGI_waiver_approval_request_form__docx	0	0	0.00	0.00	2
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx	8	3	10.34	31.03	4
UG.CAO.00133 Foreign Part 145 approvals - Language__docx	8	3	10.35	31.00	7
Wales_Office_Quarter_4_Ministerial_Transparency_Return__doc	57	4	6.85	27.40	2
Writing a technical report (SCE subject guide)__docx	0	0	0.00	0.00	0
absrc-pac-01-info-note-en__doc	2	0	0.00	0.20	0
advert-for-draft-decision-airbus-epr-bm3965ia-v006__doc	0	0	0.00	0.00	0
airbus-pdf-information-package_v1-4__docx	57	48	71.65	1450.75	3
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx	32	23	28.20	641.60	1
b050-19__docx	0	0	0.00	0.00	0
b053-19__docx	0	0	0.00	0.00	0
bulletin__docx	7	0	0.00	0.16	0
cacs-206-1751218225__docx	14	0	0.00	0.45	0
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10__doc	45	6	13.15	88.73	0
chapter 12__doc	0	0	0.00	0.00	0
congregationalhistories_ky_2023__doc	0	0	0.00	0.00	0
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx	116	111	10.35	1145.55	6
draft-variation-notice-airbus-bm3965ia-v006-vs-comments__docx	12	0	0.00	0.10	0
dragon1-enterprise-architecture-document-example-v0.1d__docx	8	0	0.00	0.75	1
eTAR_External_Web_tool_Tip_Sheet_mh__docx	0	0	0.00	0.00	0
easa-form-1__docx	20	8	24.05	149.54	0
easa-regulations-update-20__docx	0	0	0.00	0.00	0
exhibit-06---technical-architecture-template__docx	8	0	0.00	0.15	0
f111__doc	8	0	0.00	0.00	2
f2_registro_de_aprovacao_com_pbcs_EN__docx	0	0	0.00	0.00	0
f445896eb008d14c1746fc37d412dc22__docx	27	18	653.50	3994.50	6
final-technical-report-template__docx	0	0	0.00	0.00	0
fleetfastfacts16nov2023__docx	8	0	0.00	0.40	0
foca_form_1__doc	0	0	0.00	0.00	1
form_1123_application_form_rvsm_spa__docx	27	0	0.00	0.80	0
gpp-pr-top-7-office-markets-4q-2023__docx	20	10	18.55	185.50	0
hdss-bulletin-issue-285-25-june-2025__docx	11	8	103.45	336.25	0
healthcare-reform-nsa-consumer-bulletin__docx	0	0	0.00	0.00	0
healthcare-reform-nsa-provider-bulletin__docx	0	0	0.00	0.00	0
info-bulletin-601__doc	0	0	0.00	0.00	0
johnson_hall_service_log.pdf__docx	2	0	0.00	0.00	0
lk03_17__docx	0	0	0.00	0.00	0
loi_format_letter_of_intent-a-320-214-a330__doc	0	0	0.00	0.00	0
mde087077~283__docx	9	9	64.60	409.05	1
monthly-content-feeder__docx	13	10	59.00	553.00	0
omrIMInterpretiveGuideLine__doc	0	0	0.00	0.00	0
opic 5--Case Studies Movie and Aviation Industries__doc	0	0	0.00	0.00	0
part-145-approval list (1)__docx	22	14	199.60	680.10	6
part-145-approval list 2025__docx	19	15	104.00	602.25	5
part-147_approval list_20230119__docx	23	20	37.95	751.70	0
prison-population-bulletin-june__doc	0	0	0.00	0.00	0
private-hire-operators-licensed__docx	15	0	0.00	1.50	0
report-template__docx	0	0	0.00	0.00	0
review-welsh-government-communications-mister-peter-mandelson__docx	25	21	10.70	102.75	7
s33song-beverlyactproductionofdocuments__docx	0	0	0.00	0.00	0
slcc-architecture-uu-architecture__docx	32	8	22.60	91.10	0
system_design__technical_architecture_template__docx	9	1	1.50	2.20	1
t_TEMPforInvProgs__docx	41	0	0.00	0.15	0
te.iors.00048-002 SUP Questionnaire__docx	35	0	0.00	1.25	0
technical report template__docx	0	0	0.00	0.00	0
technical-architecture__docx	8	0	0.00	0.00	0
technical-memo-format__docx	0	0	0.00	0.00	0
technical-report-template__docx	0	0	0.00	0.00	0
template---tpr-technical-progress-report-with-guidance__docx	3	3	19.21	57.33	1
template-technical-report__docx	6	6	28.00	168.00	0
tibs_guidelines_2__docx	5	0	0.00	1.25	2
xx_SETIS_PWS_template_10.19.22__docx	28	18	11.80	183.25	3
手机免提系统TSB__doc	3	0	0.00	2.70	0
# 200 documents; 75 with a paired row height differing by >1.0 pt; 61 with one differing by >=10 pt
