doc	pages	ink	ink_residual	ceiling_pages	major	major_on_ceiling
County ACHS Presentaion Webinar 8-16-16 Peg__pptx	26	7.52	7.52	0	3	0
EG1_dsrc tech__ppt	26	7.37	7.37	0	2	0
3495__pptx	26	7.34	7.34	0	3	0
Structural Testing__pptx	89	7.98	7.25	2	5	1
iep-amount-frequency-for-webinar__ppt	39	6.93	6.93	0	0	0
gfopportunitiesforlinkagespres_2010_en__ppt	27	6.86	6.86	0	3	0
RPA P4 - Advanced Material__pptx	20	10.17	6.82	2	3	1
Employment-Based_I-485__ppt	42	6.53	6.53	0	1	0
FIT26-Presentation-Airservices-Update__pptx	11	6.27	6.27	0	3	0
social-media-app-bulletin-january__pptx	4	5.93	5.93	0	1	0
redac-nasops-201503-RIRP-portfolio-update__pptx	46	5.90	5.90	0	2	0
3492__pptx	22	5.87	5.87	0	3	0
berlin__ppt	29	5.78	5.78	0	3	0
G-InvoicingKeithJarboe__pptx	13	5.73	5.73	0	3	0
wells08_basic__ppt	27	5.68	5.68	0	2	0
HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY__pptx	12	5.57	5.57	0	3	0
airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20__pptx	38	5.52	5.52	0	2	0
ws_prod-g-doc-Events-r-6.-ESM__ppt	25	5.46	5.46	0	0	0
introduction_to_bea_tuxedo__ppt	40	5.81	5.42	4	2	1
redac-sas-201509-asisp-research__pptx	45	5.30	5.30	0	2	0
RESPA_-_Section_8_Webinar__ppt	35	5.24	5.24	0	0	0
010605Vul__ppt	21	5.05	5.05	0	2	0
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	18	4.85	4.85	0	0	0
Lepore__ppt	20	4.59	4.59	0	2	0
BUS-Chapter 05__ppt	50	4.56	4.56	0	1	0
REDAC Briefing_SSIT_CARA_08132014.ppt__pptx	14	4.48	4.48	0	0	0
vv_summit_SAIC-PRESENTATION_FAA-V&V-Summit_508c__pptx	19	4.31	4.31	0	1	0
vvsummit2022-SAIC-PRESENTATION__pptx	19	4.31	4.31	0	1	0
PRM_training__pptx	22	4.24	4.24	0	2	0
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011__ppt	36	4.13	4.13	0	0	0
joint_user_outcomes_michael_fullerton_29.06.12__ppt	20	4.11	4.11	0	1	0
schematicplay__pptx	21	4.07	4.07	0	0	0
WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222__pptx	51	6.61	4.03	6	4	2
schematicplaymar21__pptx	21	3.95	3.95	0	0	0
BMFE-06-03 (Gerflor) Smoke Density and Toxicity__pptx	6	3.60	3.60	0	1	0
FAAAIandtheArtandScienceofV&Vfinal__pptx	30	3.58	3.49	1	0	0
71393_pp7__ppt	39	3.44	3.44	0	3	0
ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ__ppt	38	3.42	3.42	0	0	0
John_Broggio__RSS_Campion_event_John_Broggio__pptx	25	3.41	3.41	0	2	0
Copy of Full deck with references Promotion of Outside Interests at Work final(1)__pptx	33	3.20	3.20	0	2	0
97936__pptx	15	3.14	3.14	0	1	0
Fundamentals_Module_1_basics__ppt	26	3.37	2.99	1	1	0
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed__ppt	20	3.78	2.95	1	2	0
ws_prod-g-doc-Events-Part-M-presentation__ppt	30	2.87	2.87	0	2	0
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	25	2.80	2.80	0	1	0
COMSTAC_11_5_2021am_2__pptx	39	2.79	2.79	0	0	0
_1___Opatrny_Ales_United_Kingdom_business_opportunities_final__pptx	25	2.75	2.75	0	2	0
NAS-Infrastructure-Roadmaps-HSI__pptx	9	3.00	2.68	1	1	0
dhs-293364__pptx	39	2.68	2.68	0	2	0
solog_orientation_august_2019__pptx	15	2.67	2.67	0	1	0
7-Zulkefli_Part147n66_IKMAS__pptx	18	2.59	2.59	0	3	0
redac-sas-201403-ppt-portfolio-rev-sim__pptx	14	2.57	2.57	0	1	0
30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1__pptx	18	2.72	2.51	1	0	0
Inducement-to-Insurance-Business__ppt	22	2.50	2.50	0	0	0
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt	18	2.46	2.46	0	0	0
passiv__pptx	21	2.42	2.42	0	6	0
DOE Interactive Exercise Presentation draft rev 2__pptx	10	3.08	2.37	4	2	0
ws_prod-g-doc-Events-2007-Privileges__ppt	15	2.35	2.35	0	5	0
ev122_jj-liew-tort-of-bribery-webinar__pptx	24	2.30	2.30	0	0	0
bitesize-writing-a-report__pptx	15	2.26	2.26	0	2	0
OnTrac_StarCertificationProgram-3Day__pptx	15	7.14	2.21	2	11	2
nabiyeleul_1_aviation_service_28_july_2020__pptx	9	2.17	2.17	0	1	0
attendance-updates-for-governors__pptx	30	2.14	2.14	0	0	0
redac-fullComm-201705-EE-FRs-briefing__pptx	8	2.11	2.11	0	0	0
02_REDAC_New ATM briefing _March 2017v2__pptx	6	2.09	2.09	0	0	0
ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles__ppt	20	2.05	2.05	0	1	0
AATF-Fact-Sheet-2025__pptx	9	1.99	1.99	0	3	0
ws_prod-g-doc-Events-industrymeeting18112004-Aercap__ppt	12	1.94	1.94	0	1	0
PAL Block Intro 2023__pptx	20	1.91	1.91	0	1	0
10. Drawings, circuit diagrams and schematics__pptx	23	1.90	1.90	0	0	0
SRDMG(16)024_60 GHz onboard airplanes__pptx	26	1.81	1.81	0	2	0
manufacturing_process_simulation_working_group_overview_2023__pptx	7	1.80	1.80	0	0	0
c_291533__pptx	19	1.76	1.76	0	0	0
BHCA Part II webinar #2 - 10.2020__pptx	21	1.66	1.66	0	0	0
N2_E_Maestroni_Swarm_COP__pptx	30	2.36	1.65	1	0	0
Tax factsheet 2022 (1)__pptx	27	1.64	1.64	0	0	0
Statement of Work presentation__pptx	10	1.63	1.63	0	0	0
Course Selection 2025-26 Current Grade 09__pptx	10	1.60	1.60	0	0	0
0335fab9-79f0-4944-b92c-f223837ca2d8__ppt	12	1.47	1.47	0	1	0
Sean Monogue__pptx	15	1.46	1.46	0	0	0
Session-1-Presentation-Reporting-Forms-Form-12-final__pptx	15	1.46	1.46	0	2	0
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt	10	6.03	1.45	3	2	1
1_Country-Updates_DRC_English__pptx	16	1.44	1.44	0	0	0
hofman__ppt	13	1.35	1.35	0	1	0
DoIRD Meeting 16JAN14 v1-1__pptx	15	1.20	1.20	0	1	0
Session 21- The option to expand & abandon__pptx	12	1.17	1.17	0	0	0
FIT26-Presentation-PR-Briefing-Debrief-Airbus__pptx	9	1.15	1.15	0	0	0
Stakeholders-v08052017 - v5__pptx	13	1.08	1.08	0	0	0
Ramp Up Campaign - French__pptx	6	1.07	1.07	0	3	0
item_3-environmental_process_briefing__pptx	12	1.07	1.07	0	0	0
redac-sas-201703-hf-research-division__pptx	13	1.04	1.04	0	1	0
[Christophe]NLP_reseau_inge_stat__pptx	17	1.00	1.00	0	1	0
Sylva%20introduction%20session__pptx	15	0.97	0.97	0	1	0
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007__ppt	14	0.92	0.92	0	0	0
WC_Update-Aug03__ppt	11	0.89	0.89	0	0	0
23-session-2-pptx__pptx	16	0.84	0.84	0	2	0
BasicMed_AME_Presentation__pptx	18	0.76	0.76	0	0	0
outlook_of_nigerian_pension_sector__ppt	12	0.76	0.76	0	0	0
ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016__pptx	19	0.75	0.75	0	0	0
wopanets-innovationdays-06-16__pptx	15	0.74	0.74	0	0	0
Airport Planning 09112013__ppt	9	0.70	0.70	0	0	0
diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1__pptx	1	0.66	0.66	0	0	0
1200-Assigning-Club-officers__pptx	16	0.64	0.64	0	0	0
429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3__pptx	20	0.58	0.58	0	0	0
iris07.12.12__pptx	21	0.57	0.57	0	0	0
Curriculum-Schematic-E22-11052025__pptx	12	0.41	0.41	0	0	0
Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS__pptx	9	0.41	0.41	0	0	0
NWD-GLA-Community-Outreach-Day-Oct-2025__pptx	13	0.40	0.40	0	0	0
Presentation - Identify Components of the Airport (1)__pptx	12	0.35	0.35	0	0	0
NCW-2024-Guide-__pptx	1	0.34	0.34	0	0	0
iaeg_work_group_leader_updates__pptx	1	0.32	0.32	0	0	0
ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar__ppt	10	0.31	0.31	0	0	0
111006 COMSTAC STOWG Aero spaceports IFG__pptx	8	0.30	0.30	0	1	0
5b_upasana_dasgupta_-_liability_and_registration__pptx	15	0.21	0.21	0	0	0
medicines_bulletin_february_2023_final__pptx	1	0.21	0.21	0	0	0
Liturgical-Commission-2025-Convention-Presentation__pptx	9	0.16	0.16	0	0	0
Item 6b - UNSD - Dissemination through APIs__pptx	10	0.12	0.12	0	0	0
Boeing 737 Max - Group 5__pptx	2	0.10	0.10	0	0	0
Definitions commodity chains__pptx	4	0.08	0.08	0	0	0
Trust Fund Excise Taxes Structure__pptx	1	0.08	0.08	0	0	0
ROK-PI Climate Bulletin - Edition 2017-06__pptx	2	0.04	0.04	0	0	0
fishbone-diagram-template-ppt-1__pptx	1	0.01	0.01	0	0	0
policy-pesentation__ppt	16	0.01	0.01	0	0	0
