path	verdict	pages	first_page	of	ink	dominant	gdelta	only_ours	only_ref	blank_ref	counts
words/batch-009/doc/A380MaenPressRel.doc	match	3/3		3	0.00		0	0	0	0	
words/batch-009/doc/CP-ETSO template_v2020.DOC	match	6/6	2	6	0.52	glyphs	15	4	5	1	glyphs=12
words/batch-009/doc/certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10.doc	match	8/8		8	0.00		0	0	0	0	
words/batch-009/docx/Case-Study-Heathrow-Airport.docx	match	3/3	1	3	0.77	one-sided	0	92	100	16	
words/batch-009/docx/Contract_Check_Pilot_Sample_LOA.docx	match	4/4		4	0.00		0	0	0	0	
words/batch-009/docx/Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5.docx	match	3/3	1	3	4.30	glyphs	102	34	10	6	glyphs=30
words/batch-009/docx/SWDD-template.docx	match	6/6		6	0.00		0	0	0	0	
words/batch-009/docx/form_1123_application_form_rvsm_spa.docx	match	3/3	1	3	0.36	glyphs	86	39	11	3	box=2,glyphs=21
words/batch-010/doc/361400CSLegislation1RF01PUBLIC1.doc	match	35/35	33	35	0.42	glyphs	88	6	35	23	glyphs=25
words/batch-010/doc/f111.doc	match	11/11	8	11	0.65	glyphs	99	54	132	12	size=2,box=1,width=2,face=3,glyphs=15
words/batch-010/docx/195584360.docx	match	20/20	1	20	0.88	box	0	54	66	0	box=1,colour=1
words/batch-010/docx/5709.16 ch.40_mgfinal.docx	pages	31/32	1	31	0.64	box	7	46	57	5	box=3,glyphs=1
words/batch-010/docx/Checklist for TC STC ETSO data packages to FAA_TIP rev 5.docx	match	3/3	2	3	1.13	glyphs	106	75	17	6	size=1,width=1,glyphs=30
words/batch-010/docx/PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th.docx	match	5/5	2	5	2.02	glyphs	42	6	23	16	size=2,width=2,glyphs=16
words/batch-010/docx/Writing a technical report (SCE subject guide).docx	match	4/4		4	0.00		0	0	0	0	
words/batch-010/docx/te.iors.00048-002 SUP Questionnaire.docx	match	4/4	1	4	6.33	colour	86	19	69	0	box=6,glyphs=8,colour=34
words/batch-010/docx/technical report template.docx	match	10/10	1	10	0.55	size	0	11	11	1	size=2,width=2
words/batch-011/doc/135.doc	match	14/14		14	0.00		0	0	0	0	
words/batch-011/doc/1528364855.doc	match	3/3	1	3	1.25	glyphs	78	174	443	19	size=1,width=1,face=1,glyphs=4
words/batch-011/docx/FG-AI4NDM-TR-skeleton_template.docx	match	5/5		5	0.00		0	0	0	0	
words/batch-011/docx/b053-19.docx	match	2/2	1	2	0.53	glyphs	85	61	29	6	size=3,width=2,face=4,glyphs=17
words/batch-011/docx/eTAR_External_Web_tool_Tip_Sheet_mh.docx	match	4/4	1	4	0.55	glyphs	71	44	11	2	glyphs=11
words/batch-011/docx/f2_registro_de_aprovacao_com_pbcs_EN.docx	match	2/2	1	2	0.98	glyphs	35	165	178	5	size=2,width=2,face=1,glyphs=4
words/batch-011/docx/part-145-approval list (1).docx	match	8/8	2	8	1.07	glyphs	26	106	194	2	size=1,box=13,width=1,face=2,glyphs=26
words/batch-011/docx/part-145-approval list 2025.docx	match	7/7	2	7	1.38	glyphs	33	133	200	3	size=2,box=11,width=2,face=3,glyphs=37
words/batch-011/docx/review-welsh-government-communications-mister-peter-mandelson.docx	pages	16/14	6	14	1.17	size	10	86	96	12	size=11,box=7,width=11,face=11,glyphs=11
words/batch-011/docx/tibs_guidelines_2.docx	match	13/13	1	13	0.37	glyphs	32	12	1	1	glyphs=3
words/batch-012/doc/AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX.doc	match	20/20	1	20	2.36	face	68	46	71	13	size=2,width=2,face=5,glyphs=4
words/batch-012/doc/AirbusCallouts.doc	match	24/24	1	24	0.85	glyphs	1	59	65	3	size=5,box=4,width=2,face=4,glyphs=6
words/batch-012/doc/RMI_Document_Repository_Public-Reprts_GettingOffOil.doc	match	6/6	2	6	8.58	one-sided	0	23	15	1	
