114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication__xlsx	14	51	1136	0	0	1043	shows:1043 glyphs:93 
Performance__xlsx	4	4	792	0	743	48	size:743 shows:48 glyphs:1 
National-Finalists-2024-1__xlsx	0	0	0	0	0	0	
ecopy of 2016 statistical bulletin_public finance statistics_final__xlsx	10	28	2827	0	2294	106	size:2294 glyphs:427 shows:106 
dragon-175066A__xlsx	284	286	987	175	987	0	size:987 
essd-16-3433-2024-t02__xlsx	0	0	7	0	0	7	shows:7 
jobs-bulletin-51-22-december-2025__xlsx	25	75	209	1	0	206	shows:206 glyphs:2 face:1 
wiley-cancelled-title-list__xlsx	0	0	0	0	0	0	
ACRONYM__xls	0	0	45	0	3	38	shows:38 glyphs:4 size:3 
Liste-Zertifizierung-ChemKlimaschutzV-RPT__xls	25	29	401	0	0	282	shows:282 glyphs:119 
data_20121018181533__xls	0	0	0	0	0	0	
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx	20	0	41	0	0	41	shows:41 
Computer and Software Services_50 State Comparison__xlsx	27	26	280	0	0	280	shows:280 
RVSM_Non_approved_list_2025_84c0b3f4ac__xlsx	1	1	9	0	0	9	shows:9 
SLSA_Directory_031423__xlsx	2018	2066	434	0	30	50	glyphs:354 shows:50 size:30 
commander-authorisation-tasks-spreadsheet-october-2025__xlsx	926	1017	2997	0	2997	0	size:2997 
hdss-bulletin-index-2019-2022__xlsx	24	63	350	0	0	349	shows:349 glyphs:1 
template-ECSPR-notifications__xlsx	0	0	19	2	0	17	shows:17 face:2 
6f9e605c-fded-11e3-bd0e-00144feab7de__xls	61	170	10	0	0	10	shows:10 
Aviation_Abbreviations__xlsx	0	0	19	0	0	19	shows:19 
Company_Seniority_Date_Calculator__xlsx	13	24	195	0	152	43	size:152 shows:43 
RegChangeReport__xlsx	41	62	511	1	0	504	shows:504 glyphs:7 
PBN Matrix NAAs (V01)__xlsx	218	297	476	3	1	364	shows:364 glyphs:108 face:3 size:1 
TDA_Smoke-Detectors__xlsx	6	6	21	12	0	9	face:12 shows:9 
sistem-rekod-markah-srm-_-rekod-master__xlsx	1200	1200	0	0	0	0	
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx	1580	1477	4322	0	645	1039	glyphs:2638 shows:1039 size:645 
airports_6__xlsx	2596	2609	6309	0	6326	0	size:6309 
