# Shortcodes for the emoji and symbol AutoCorrect replacements.
#
# Typing a shortcode between colons - :rocket: - replaces it with the character
# as soon as the closing colon is typed.  The names are the international
# GitHub/Slack shortcodes, so they are the same in every language and this file
# is deliberately NOT translated.  See README.md before editing.
#
# codepoints <TAB> character <TAB> shortcodes, first one canonical <TAB> Unicode name
000A2	¢	cent	CENT SIGN
02640	♀	female	FEMALE SIGN
02642	♂	male	MALE SIGN
02648	♈	aries	ARIES
02649	♉	taurus	TAURUS
0264A	♊	gemini	GEMINI
0264B	♋	cancer	CANCER
0264C	♌	leo	LEO
0264D	♍	virgo	VIRGO
0264E	♎	libra	LIBRA
0264F	♏	scorpius	SCORPIUS
02650	♐	sagittarius	SAGITTARIUS
02651	♑	capricorn	CAPRICORN
02652	♒	aquarius	AQUARIUS
02653	♓	pisces	PISCES
0265F	♟	black pawn	BLACK CHESS PAWN
02660	♠	spades	BLACK SPADE SUIT
02663	♣	clubs	BLACK CLUB SUIT
02665	♥	hearts	BLACK HEART SUIT
02666	♦	diamonds	BLACK DIAMOND SUIT
02668	♨	hotsprings, hot springs	HOT SPRINGS
0267B	♻	recycle, recycling2	BLACK UNIVERSAL RECYCLING SYMBOL
0267E	♾	permanent paper	PERMANENT PAPER
0267F	♿	wheelchair	WHEELCHAIR SYMBOL
02692	⚒	hammer and pick, hammer_and_pick	HAMMER AND PICK
02693	⚓	anchor	ANCHOR
02694	⚔	crossed_swords, swords	CROSSED SWORDS
02695	⚕	medical	STAFF OF AESCULAPIUS
02696	⚖	scales	SCALES
02697	⚗	alembic	ALEMBIC
02699	⚙	gear	GEAR
0269B	⚛	atom	ATOM SYMBOL
0269C	⚜	fleur_de_lis, fleur de lis	FLEUR-DE-LIS
026A0	⚠	warning	WARNING SIGN
026A1	⚡	zap	HIGH VOLTAGE SIGN
026AA	⚪	white_circle, white circle	MEDIUM WHITE CIRCLE
026AB	⚫	black_circle, black circle	MEDIUM BLACK CIRCLE
026B0	⚰	coffin	COFFIN
026B1	⚱	urn	FUNERAL URN
026BD	⚽	soccer	SOCCER BALL
026BE	⚾	baseball	BASEBALL
026C4	⛄	snowman2	SNOWMAN WITHOUT SNOW
026C5	⛅	cloud2	SUN BEHIND CLOUD
026C8	⛈	cloud3	THUNDER CLOUD AND RAIN
026CE	⛎	ophiuchus	OPHIUCHUS
026CF	⛏	pick	PICK
026D1	⛑	helmet	HELMET WITH WHITE CROSS
026D3	⛓	chains	CHAINS
026D4	⛔	no entry, no_entry	NO ENTRY
26E9	⛩	shinto_shrine	SHINTO SHRINE
026EA	⛪	church	CHURCH
026F0	⛰	mountain	MOUNTAIN
026F1	⛱	umbrella3	UMBRELLA ON GROUND
026F2	⛲	fountain	FOUNTAIN
026F3	⛳	golf2	FLAG IN HOLE
026F4	⛴	ferry	FERRY
026F5	⛵	sailboat	SAILBOAT
026F7	⛷	skier	SKIER
026F8	⛸	skate	ICE SKATE
026F9	⛹	ball	PERSON WITH BALL
026FA	⛺	tent	TENT
026FD	⛽	fuelpump	FUEL PUMP
02702	✂	scissors	BLACK SCISSORS
02705	✅	white_check_mark, check mark3	WHITE HEAVY CHECK MARK
02708	✈	airplane	AIRPLANE
02709	✉	envelope	ENVELOPE
0270A	✊	fist_raised, fist	RAISED FIST
0270B	✋	raised_hand, hand	RAISED HAND
0270C	✌	v, victory	VICTORY HAND
0270D	✍	writing_hand, writing	WRITING HAND
0270F	✏	pencil2	PENCIL
02712	✒	nib2	BLACK NIB
02714	✔	heavy_check_mark, check mark2	HEAVY CHECK MARK
02716	✖	heavy_multiplication_x, times2	HEAVY MULTIPLICATION X
0271D	✝	latin_cross, Latin cross	LATIN CROSS
02721	✡	star of David	STAR OF DAVID
02728	✨	sparkles	SPARKLES
2733	✳	eight_spoked_asterisk	EIGHT SPOKED ASTERISK
2734	✴	eight_pointed_black_star	EIGHT POINTED BLACK STAR
02744	❄	snowflake	SNOWFLAKE
02747	❇	sparkle	SPARKLE
0274C	❌	x, x2	CROSS MARK
0274E	❎	x3	NEGATIVE SQUARED CROSS MARK
02753	❓	question, ?	BLACK QUESTION MARK ORNAMENT
02754	❔	?2	WHITE QUESTION MARK ORNAMENT
02755	❕	grey_exclamation, !	WHITE EXCLAMATION MARK ORNAMENT
02757	❗	exclamation, heavy_exclamation_mark, !2	HEAVY EXCLAMATION MARK SYMBOL
2763	❣	heavy_heart_exclamation	HEAVY HEART EXCLAMATION MARK ORNAMENT
02764	❤	heart	HEAVY BLACK HEART
2795	➕	heavy_plus_sign	HEAVY PLUS SIGN
2796	➖	heavy_minus_sign	HEAVY MINUS SIGN
2797	➗	heavy_division_sign	HEAVY DIVISION SIGN
27A1	➡	arrow_right	BLACK RIGHTWARDS ARROW
027B0	➰	loop	CURLY LOOP
027BF	➿	loop2	DOUBLE CURLY LOOP
2934	⤴	arrow_heading_up	ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS
2935	⤵	arrow_heading_down	ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS
2B05	⬅	arrow_left	LEFTWARDS BLACK ARROW
2B06	⬆	arrow_up	UPWARDS BLACK ARROW
2B07	⬇	arrow_down	DOWNWARDS BLACK ARROW
02B1B	⬛	large square2	BLACK LARGE SQUARE
02B1C	⬜	large square	WHITE LARGE SQUARE
02B1F	⬟	pentagon2	BLACK PENTAGON
02B20	⬠	pentagon	WHITE PENTAGON
02B21	⬡	hexagon	WHITE HEXAGON
02B22	⬢	hexagon2	BLACK HEXAGON
02B24	⬤	large circle2	BLACK LARGE CIRCLE
02B2D	⬭	ellipse	WHITE HORIZONTAL ELLIPSE
02B50	⭐	star, medium star	WHITE MEDIUM STAR
02B51	⭑	small star2	BLACK SMALL STAR
02B52	⭒	small star	WHITE SMALL STAR
2B55	⭕	o	HEAVY LARGE CIRCLE
02C7C	ⱼ	_j	LATIN SUBSCRIPT SMALL LETTER J
02C7D	ⱽ	^V	MODIFIER LETTER CAPITAL V
3030	〰	wavy_dash	WAVY DASH
303D	〽	part_alternation_mark	PART ALTERNATION MARK
3297	㊗	congratulations	CIRCLED IDEOGRAPH CONGRATULATION
3299	㊙	secret	CIRCLED IDEOGRAPH SECRET
0FB00	ﬀ	ff	LATIN SMALL LIGATURE FF
0FB01	ﬁ	fi	LATIN SMALL LIGATURE FI
0FB02	ﬂ	fl	LATIN SMALL LIGATURE FL
0FB03	ﬃ	ffi	LATIN SMALL LIGATURE FFI
0FB04	ﬄ	ffl	LATIN SMALL LIGATURE FFL
1D11E	𝄞	clef	MUSICAL SYMBOL G CLEF
1D12A	𝄪	double sharp	MUSICAL SYMBOL DOUBLE SHARP
1D12B	𝄫	double flat	MUSICAL SYMBOL DOUBLE FLAT
1D13B	𝄻	whole rest	WHOLE REST
1D13C	𝄼	half rest	HALF REST
1D13D	𝄽	quarter rest	QUARTER REST
1D13E	𝄾	eighth rest	EIGHTH REST
1D15D	𝅝	whole note	MUSICAL SYMBOL WHOLE NOTE
1D15E	𝅗𝅥	half note	MUSICAL SYMBOL HALF NOTE
1D15F	𝅘𝅥	quarter note	MUSICAL SYMBOL QUARTER NOTE
1D160	𝅘𝅥𝅮	eighth note	MUSICAL SYMBOL EIGHTH NOTE
1D161	𝅘𝅥𝅯	sixteenth note	MUSICAL SYMBOL SIXTEENTH NOTE
1F004	🀄	mahjong	MAHJONG TILE RED DRAGON
1F0CF	🃏	joker	PLAYING CARD BLACK JOKER
1F300	🌀	cyclone	CYCLONE
1F301	🌁	foggy	FOGGY
1F302	🌂	umbrella2	CLOSED UMBRELLA
1F303	🌃	night_with_stars, night	NIGHT WITH STARS
1F304	🌄	sunrise2	SUNRISE OVER MOUNTAINS
1F305	🌅	sunrise	SUNRISE
1F306	🌆	sunset	CITYSCAPE AT DUSK
1F307	🌇	sunrise3	SUNSET OVER BUILDINGS
1F308	🌈	rainbow	RAINBOW
1F309	🌉	bridge	BRIDGE AT NIGHT
1F30A	🌊	ocean	WATER WAVE
1F30B	🌋	volcano	VOLCANO
1F30C	🌌	milky_way, milky way	MILKY WAY
1F30D	🌍	earth_africa, globe	EARTH GLOBE EUROPE-AFRICA
1F30E	🌎	earth_americas, globe2	EARTH GLOBE AMERICAS
1F30F	🌏	earth_asia, globe3	EARTH GLOBE ASIA-AUSTRALIA
1F310	🌐	globe_with_meridians, globe4	GLOBE WITH MERIDIANS
1F311	🌑	new moon, new_moon	NEW MOON SYMBOL
1F312	🌒	waxing crescent moon, waxing_crescent_moon	WAXING CRESCENT MOON SYMBOL
1F313	🌓	first quarter	FIRST QUARTER MOON SYMBOL
1F314	🌔	waxing gibbous moon, waxing_gibbous_moon	WAXING GIBBOUS MOON SYMBOL
1F315	🌕	full_moon, full moon	FULL MOON SYMBOL
1F316	🌖	waning gibbous moon, waning_gibbous_moon	WANING GIBBOUS MOON SYMBOL
1F317	🌗	last quarter	LAST QUARTER MOON SYMBOL
1F318	🌘	waning crescent moon, waning_crescent_moon	WANING CRESCENT MOON SYMBOL
1F319	🌙	crescent_moon, crescent moon	CRESCENT MOON
1F31A	🌚	new_moon_with_face, new moon2	NEW MOON WITH FACE
1F31B	🌛	first_quarter_moon_with_face, moon	FIRST QUARTER MOON WITH FACE
1F31C	🌜	moon2	LAST QUARTER MOON WITH FACE
1F31D	🌝	full_moon_with_face, full moon2	FULL MOON WITH FACE
1F31E	🌞	sun_with_face, sun	SUN WITH FACE
1F31F	🌟	star2, star3	GLOWING STAR
1F320	🌠	stars, star4	SHOOTING STAR
1F321	🌡	thermometer	THERMOMETER
