HG創英角ｺﾞｼｯｸUB	DejaVuSans	86.45	63.64
HG明朝E	DejaVuSans	86.45	63.64
HGｺﾞｼｯｸE	DejaVuSans	86.45	63.64
HGｺﾞｼｯｸM	DejaVuSans	86.45	63.64
HP Simplified	DejaVuSans	86.45	63.64
HY견고딕	DejaVuSans	86.45	63.64
HY그래픽B	DejaVuSans	86.45	63.64
HY그래픽M	DejaVuSans	86.45	63.64
HY신명조	DejaVuSans	86.45	63.64
HY엽서L	DejaVuSans	86.45	63.64
HY중고딕	DejaVuSans	86.45	63.64
Helv	DejaVuSans	86.45	63.64
Helvetica	LiberationSans	75.61	55.63
Helvetica 45 Light	DejaVuSans	86.45	63.64
Helvetica 55 Roman	DejaVuSans	86.45	63.64
Helvetica 75	DejaVuSans	86.45	63.64
Helvetica 75 Bold	DejaVuSans	86.45	63.64
Helvetica Light	DejaVuSans	86.45	63.64
Helvetica Neue	DejaVuSans	86.45	63.64
Helvetica Neue Medium	DejaVuSans	86.45	63.64
Helvetica-Narrow	DejaVuSans	86.45	63.64
HelveticaNeue	DejaVuSans	86.45	63.64
HelveticaNeue-Bold	DejaVuSans	86.45	63.64
HelveticaNeue-Heavy	DejaVuSans	86.45	63.64
HelveticaNeueLT Std	DejaVuSans	86.45	63.64
HelveticaNeueLT Std Extended	DejaVuSans	86.45	63.64
Humnst777 Lt BT	DejaVuSans	86.45	63.64
Impact	DejaVuSans	86.45	63.64
IrisUPC	DejaVuSans	86.45	63.64
Iskoola Pota	DejaVuSans	86.45	63.64
Javanese Text	DejaVuSans	86.45	63.64
Jenna Sue	DejaVuSans	86.45	63.64
Kalinga	DejaVuSans	86.45	63.64
Kartika	DejaVuSans	86.45	63.64
Khmer UI	DejaVuSans	86.45	63.64
KodchiangUPC	DejaVuSans	86.45	63.64
LLA Regular	DejaVuSans	86.45	63.64
Latha	DejaVuSans	86.45	63.64
Lato	DejaVuSans	86.45	63.64
Lato Black	DejaVuSans	86.45	63.64
Lato Light	DejaVuSans	86.45	63.64
Leelawadee UI	DejaVuSans	86.45	63.64
Liberation Sans	LiberationSans	75.61	55.63
LilyUPC	DejaVuSans	86.45	63.64
Lucida Console	DejaVuSans	86.45	63.64
Lucida Grande	DejaVuSans	86.45	63.64
Lucida Handwriting	DejaVuSans	86.45	63.64
Lucida Sans	DejaVuSans	86.45	63.64
Lucida Sans Unicode	DejaVuSans	86.45	63.64
MS Gothic	DejaVuSans	86.45	63.64
MS Mincho	DejaVuSans	86.45	63.64
MS P????	DejaVuSans	86.45	63.64
MS PGothic	DejaVuSans	86.45	63.64
MS Sans Serif	DejaVuSans	86.45	63.64
MV Boli	DejaVuSans	86.45	63.64
Maiandra GD	DejaVuSans	86.45	63.64
Majalla UI	DejaVuSans	86.45	63.64
Mangal	DejaVuSans	86.45	63.64
Microsoft Himalaya	DejaVuSans	86.45	63.64
Microsoft JhengHei	DejaVuSans	86.45	63.64
Microsoft New Tai Lue	DejaVuSans	86.45	63.64
Microsoft Tai Le	DejaVuSans	86.45	63.64
Microsoft Uighur	DejaVuSans	86.45	63.64
Microsoft YaHei	DejaVuSans	86.45	63.64
Microsoft Yi Baiti	DejaVuSans	86.45	63.64
Minion Pro	DejaVuSans	86.45	63.64
MinionPro-Regular	DejaVuSans	86.45	63.64
Miriam	DejaVuSans	86.45	63.64
Mongolian Baiti	DejaVuSans	86.45	63.64
Monospace	DejaVuSansMono	90.35	60.24
Monotype Sorts	DejaVuSans	86.45	63.64
Montserrat	DejaVuSans	86.45	63.64
Montserrat Classic Bold	DejaVuSans	86.45	63.64
Montserrat Light Bold	DejaVuSans	86.45	63.64
Montserrat Light Light	DejaVuSans	86.45	63.64
MoolBoran	DejaVuSans	86.45	63.64
Myanmar Text	DejaVuSans	86.45	63.64
NewCenturySchlbk	DejaVuSans	86.45	63.64
Nimbus Sans L	LiberationSans	75.61	55.63
Nirmala UI	DejaVuSans	86.45	63.64
Nyala	DejaVuSans	86.45	63.64
OCR A Extended	DejaVuSans	86.45	63.64
OfficinaSans	DejaVuSans	86.45	63.64
Open Sans	DejaVuSans	86.45	63.64
Open Sans Light	DejaVuSans	86.45	63.64
Optima	DejaVuSans	86.45	63.64
Palatino	DejaVuSerif	88.27	63.64
Palatino Linotype	DejaVuSerif	88.27	63.64
Perpetua Titling MT	DejaVuSans	86.45	63.64
Phagspa	DejaVuSans	86.45	63.64
PingFang SC	DejaVuSans	86.45	63.64
Plantagenet Cherokee	DejaVuSans	86.45	63.64
Play	DejaVuSans	86.45	63.64
Proxima Nova A	DejaVuSans	86.45	63.64
Raavi	DejaVuSans	86.45	63.64
Raleway	DejaVuSans	86.45	63.64
Raleway ExtraBold	DejaVuSans	86.45	63.64
Roboto	DejaVuSans	86.45	63.64
Roboto Black	DejaVuSans	86.45	63.64
Roboto Bold	DejaVuSans	86.45	63.64
Roboto Medium	DejaVuSans	86.45	63.64
Roboto Regular	DejaVuSans	86.45	63.64
Roboto-light	DejaVuSans	86.45	63.64
Roboto-medium	DejaVuSans	86.45	63.64
Roboto-thin	DejaVuSans	86.45	63.64
Roman 10cpi	DejaVuSans	86.45	63.64
Rubik	DejaVuSans	86.45	63.64
Sans-serif	DejaVuSans	86.45	63.64
Segoe UI	DejaVuSans	86.45	63.64
Segoe UI Black	DejaVuSans	86.45	63.64
Segoe UI Light	DejaVuSans	86.45	63.64
Segoe UI Semibold	DejaVuSans	86.45	63.64
Segoe UI Symbol	DejaVuSans	86.45	63.64
Shruti	DejaVuSans	86.45	63.64
SimSun	DejaVuSerif	88.27	63.64
Source Sans Pro	DejaVuSans	86.45	63.64
Source Sans Pro SemiBold	DejaVuSans	86.45	63.64
Souvenir Lt BT	DejaVuSans	86.45	63.64
Stencil	DejaVuSans	86.45	63.64
Sylfaen	DejaVuSans	86.45	63.64
Symbol	UNKNOWN	82.91	50.03
System Font Regular	DejaVuSans	86.45	63.64
Tahoma	DejaVuSans	86.45	63.64
Times	LiberationSerif	69.98	50.03
Times New Roman	LiberationSerif	69.98	50.03
Times New Roman Bold	DejaVuSans	86.45	63.64
Times New Roman CE	LiberationSerif	69.98	50.03
Times New Roman CYR	LiberationSerif	69.98	50.03
Times-Italic	DejaVuSans	86.45	63.64
Times-Roman	DejaVuSans	86.45	63.64
TimesNewRoman	LiberationSerif	69.98	50.03
TimesNewRoman,Bold	LiberationSerif	69.98	50.03
TimesNewRomanPSMT	DejaVuSans	86.45	63.64
Traditional Arabic	DejaVuSans	86.45	63.64
Trebuchet MS	DejaVuSans	86.45	63.64
Tunga	DejaVuSans	86.45	63.64
Tw Cen MT	DejaVuSans	86.45	63.64
Univers	DejaVuSans	86.45	63.64
Univers (W1)	DejaVuSans	86.45	63.64
Verdana	DejaVuSans	86.45	63.64
Verdana-Bold	DejaVuSans	86.45	63.64
Vrinda	DejaVuSans	86.45	63.64
WP TypographicSymbols	DejaVuSans	86.45	63.64
Webdings	DejaVuSans	86.45	63.64
Wingdings	DejaVuSans	86.45	63.64
Wingdings 2	DejaVuSans	86.45	63.64
Wingdings 3	DejaVuSans	86.45	63.64
Yu Gothic	DejaVuSans	86.45	63.64
Yu Gothic Light	DejaVuSans	86.45	63.64
Yu Mincho	DejaVuSans	86.45	63.64
proxima_novasemibold	DejaVuSans	86.45	63.64
roboto	DejaVuSans	86.45	63.64
ヒラギノ角ゴ Pro W3	DejaVuSans	86.45	63.64
メイリオ	DejaVuSans	86.45	63.64
华文中宋	DejaVuSans	86.45	63.64
华文新魏	DejaVuSans	86.45	63.64
华文楷体	DejaVuSans	86.45	63.64
宋体	DejaVuSans	86.45	63.64
微軟正黑體	DejaVuSans	86.45	63.64
微软雅黑	DejaVuSans	86.45	63.64
新細明體	DejaVuSans	86.45	63.64
方正姚体	DejaVuSans	86.45	63.64
方正舒体	DejaVuSans	86.45	63.64
標楷體	DejaVuSans	86.45	63.64
游ゴシック	DejaVuSans	86.45	63.64
游ゴシック Light	DejaVuSans	86.45	63.64
游明朝	DejaVuSans	86.45	63.64
等线	DejaVuSans	86.45	63.64
等线 Light	DejaVuSans	86.45	63.64
隶书	DejaVuSans	86.45	63.64
黑体	DejaVuSans	86.45	63.64
굴림	DejaVuSans	86.45	63.64
돋움	DejaVuSans	86.45	63.64
맑은 고딕	DejaVuSans	86.45	63.64
바탕	DejaVuSans	86.45	63.64
휴먼매직체	DejaVuSans	86.45	63.64
ＭＳ ゴシック	DejaVuSans	86.45	63.64
ＭＳ 明朝	DejaVuSerif	88.27	63.64
ＭＳ Ｐゴシック	DejaVuSans	86.45	63.64
ＭＳ Ｐ明朝	DejaVuSans	86.45	63.64
