slides/batch-007/pptx/nabiyeleul_1_aviation_service_28_july_2020.pptx	pptx	9/9	565/565	4/4	0	match
slides/batch-008/ppt/71393_pp7.ppt	ppt	39/39	2172/2171	5/6	0	match
slides/batch-008/ppt/Framing Europe.ppt	ppt	24/24	2244/2244	3/4	0	match
slides/batch-008/ppt/RESPA_-_Section_8_Webinar.ppt	ppt	35/35	2580/2586	4/5	0	match
slides/batch-008/ppt/concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	ppt	36/36	2471/2473	5/5	0	match
slides/batch-008/ppt/joint_user_outcomes_michael_fullerton_29.06.12.ppt	ppt	20/20	1932/1929	6/7	0	match
slides/batch-008/pptx/10. Drawings, circuit diagrams and schematics.pptx	pptx	23/23	1507/1506	4/4	0	match
slides/batch-008/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	26/26	2240/2108	8/11	0	words
slides/batch-008/pptx/AATF-Fact-Sheet-2025.pptx	pptx	9/9	863/868	7/8	0	match
slides/batch-008/pptx/BHCA Part II webinar #2 - 10.2020.pptx	pptx	21/21	1408/1403	6/6	0	match
slides/batch-008/pptx/FIT26-Presentation-Airservices-Update.pptx	pptx	11/11	223/223	4/4	0	match
slides/batch-009/ppt/8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	ppt	94/94	4325/4331	5/6	0	match
slides/batch-009/ppt/Airport Planning 09112013.ppt	ppt	9/9	634/634	6/6	0	match
slides/batch-009/ppt/EG1_dsrc tech.ppt	ppt	26/26	2070/2070	5/6	0	match
slides/batch-009/ppt/Employment-Based_I-485.ppt	ppt	42/42	2517/2517	2/3	0	match
slides/batch-009/pptx/G-InvoicingKeithJarboe.pptx	pptx	13/13	1091/1090	5/5	0	match
slides/batch-009/pptx/NWD-GLA-Community-Outreach-Day-Oct-2025.pptx	pptx	13/13	596/586	4/3	0	match
slides/batch-009/pptx/ROK-PI Climate Bulletin - Edition 2017-06.pptx	pptx	2/2	410/410	3/3	0	match
slides/batch-009/pptx/airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20.pptx	pptx	38/38	873/877	7/7	0	match
slides/batch-009/pptx/item_3-environmental_process_briefing.pptx	pptx	12/12	299/299	4/4	0	match
slides/batch-009/pptx/redac-sas-201403-ppt-portfolio-rev-sim.pptx	pptx	14/14	2030/2026	9/8	0	match
slides/batch-010/ppt/Fundamentals_Module_1_basics.ppt	ppt	26/26	1146/1099	6/5	0	words
slides/batch-010/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	ppt	20/20	910/817	6/6	0	words
slides/batch-010/ppt/iep-amount-frequency-for-webinar.ppt	ppt	39/39	1689/1689	5/6	0	match
slides/batch-010/pptx/30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.pptx	pptx	18/18	1373/1374	7/7	0	match
slides/batch-010/pptx/COMSTAC_11_5_2021am_2.pptx	pptx	39/39	2767/2767	3/4	0	match
slides/batch-010/pptx/FIT26-Presentation-PR-Briefing-Debrief-Airbus.pptx	pptx	9/9	1471/1474	3/3	0	match
slides/batch-010/pptx/HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY.pptx	pptx	12/12	327/326	4/3	0	match
slides/batch-010/pptx/Tax factsheet 2022 (1).pptx	pptx	27/27	2855/2888	4/5	0	match
slides/batch-010/pptx/[Christophe]NLP_reseau_inge_stat.pptx	pptx	17/17	947/948	5/5	0	match
slides/batch-010/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	23/23	2260/2266	6/7	0	match
slides/batch-011/ppt/BUS-Chapter 05.ppt	ppt	50/50	2128/2136	5/5	0	match
slides/batch-011/pptx/171128IPAP.pptx	pptx	40/40	4700/4705	8/10	0	match
slides/batch-011/pptx/BasicMed_AME_Presentation.pptx	pptx	18/18	872/872	4/4	0	match
slides/batch-011/pptx/Copy of Full deck with references Promotion of Outside Interests at Work final(1).pptx	pptx	33/33	3131/3132	6/7	0	match
slides/batch-011/pptx/DoIRD Meeting 16JAN14 v1-1.pptx	pptx	15/15	1078/1078	8/6	0	match
slides/batch-011/pptx/John_Broggio__RSS_Campion_event_John_Broggio.pptx	pptx	25/25	1200/1201	2/3	0	match
slides/batch-011/pptx/REDAC Briefing_SSIT_CARA_08132014.ppt.pptx	pptx	14/14	462/462	5/3	0	match
slides/batch-011/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	pptx	24/24	4603/4621	5/6	0	match
slides/batch-011/pptx/passiv.pptx	pptx	21/21	1256/1256	8/8	0	match
slides/batch-011/pptx/section_1_our_rights_presentation.pptx	pptx	30/30	4186/4183	7/7	0	match
slides/batch-012/pptx/1_Country-Updates_DRC_English.pptx	pptx	16/16	791/792	5/5	0	match
slides/batch-012/pptx/23-session-2-pptx.pptx	pptx	16/16	308/308	4/4	0	match
slides/batch-012/pptx/3495.pptx	pptx	26/26	761/761	4/4	0	match
slides/batch-012/pptx/B2B-Center-Readiness-and-Student-Retention.pptx	pptx	33/33	1356/1351	6/6	0	match
slides/batch-012/pptx/NAS-Infrastructure-Roadmaps-v16.0.pptx	pptx	137/137	19219/15316	7/6	0	words
slides/batch-012/pptx/OnTrac_StarCertificationProgram-3Day.pptx	pptx	15/15	1344/1045	8/7	0	words
slides/batch-012/pptx/Session-1-Presentation-Reporting-Forms-Form-12-final.pptx	pptx	15/15	1136/1135	7/6	0	match
slides/batch-012/pptx/Sylva%20introduction%20session.pptx	pptx	15/15	1115/1115	7/7	0	match
slides/batch-012/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	pptx	25/25	1661/1672	7/6	0	match
slides/batch-012/pptx/order-of-worship-ppt-revised-2018.pptx	pptx	28/28	1148/1148	6/5	0	match
slides/batch-013/ppt/JesuitAssocOfStudentPersonnel.ppt	ppt	31/31	1178/1182	6/6	0	match
slides/batch-013/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	ppt	27/27	2494/2501	8/8	0	match
slides/batch-013/ppt/gillikin_online_user_mtg_2010.ppt	ppt	40/40	1302/1300	4/5	0	match
slides/batch-013/pptx/3492.pptx	pptx	22/22	1273/1274	5/6	0	match
slides/batch-013/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	pptx	18/18	993/1004	7/7	0	match
slides/batch-013/pptx/County ACHS Presentaion Webinar 8-16-16 Peg.pptx	pptx	26/26	1331/1330	7/6	0	match
slides/batch-013/pptx/REDAC briefing March12-13-2014jemvbFINAL.ppt.pptx	pptx	25/25	2629/2626	8/8	0	match
slides/batch-013/pptx/SRDMG(16)024_60 GHz onboard airplanes.pptx	pptx	26/26	1884/1883	7/7	0	match
slides/batch-013/pptx/vv_summit_SAIC-PRESENTATION_FAA-V&V-Summit_508c.pptx	pptx	19/19	652/652	5/4	0	match
slides/batch-013/pptx/vvsummit2022-SAIC-PRESENTATION.pptx	pptx	19/19	652/652	5/4	0	match
slides/batch-014/ppt/Thailand17.ppt	ppt	54/54	2813/2697	8/9	0	words
slides/batch-014/ppt/ws_prod-g-doc-Events-2008-February-5-NATO-activities.ppt	ppt	13/13	471/473	6/4	0	match
slides/batch-014/pptx/2014BSA_Sunday_Killion.pptx	pptx	50/50	3678/3620	9/8	0	match
slides/batch-014/pptx/429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3.pptx	pptx	20/20	3132/3132	6/6	0	match
slides/batch-014/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	pptx	39/39	3520/3503	7/7	0	match
slides/batch-014/pptx/N2_E_Maestroni_Swarm_COP.pptx	pptx	30/30	5422/5217	5/4	0	words
slides/batch-014/pptx/Ramp Up Campaign - French.pptx	pptx	6/6	424/424	2/2	0	match
slides/batch-014/pptx/Sean Monogue.pptx	pptx	15/15	828/828	4/4	0	match
slides/batch-014/pptx/Structural Testing.pptx	pptx	89/89	4623/4606	13/12	0	match
slides/batch-014/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	pptx	51/51	2209/1988	9/7	0	words
slides/batch-015/ppt/2015-Civil-Rights-Website-training.ppt	ppt	94/94	6156/6145	11/11	0	match
slides/batch-015/ppt/Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6.ppt	ppt	26/26	1953/1951	5/3	0	match
slides/batch-015/ppt/FAA_Form_337.ppt	ppt	67/67	5629/5707	14/15	0	match
slides/batch-015/ppt/hofman.ppt	ppt	13/13	455/454	5/4	0	match
slides/batch-015/pptx/PRM_training.pptx	pptx	22/22	2187/2167	5/7	0	match
slides/batch-015/pptx/chapter_4_0.pptx	pptx	54/54	3180/3180	7/7	0	match
slides/batch-015/pptx/redac-sas-201509-asisp-research.pptx	pptx	45/45	3147/3143	12/12	0	match
slides/batch-015/pptx/redac-sas-201703-hf-research-division.pptx	pptx	13/13	718/718	2/3	0	match
slides/batch-015/pptx/schematicplay.pptx	pptx	21/21	2114/2129	4/5	0	match
slides/batch-015/pptx/schematicplaymar21.pptx	pptx	21/21	2108/2123	4/5	0	match
slides/batch-016/ppt/pres_ioc_phuket.ppt	ppt	26/26	998/1005	8/9	0	match
slides/batch-016/pptx/16 - UTM - (NASA).pptx	pptx	37/37	2459/2261	11/11	1	words,unembedded
slides/batch-016/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	pptx	30/30	1201/1145	6/6	0	words
slides/batch-016/pptx/Presentation - Identify Components of the Airport (1).pptx	pptx	12/12	556/556	6/6	0	match
slides/batch-016/pptx/Reporting_responsibilities_matrix.pptx	pptx	268/268	57920/57873	2/3	0	match
slides/batch-016/pptx/Snowbirds_High_Show.pptx	pptx	41/41	1888/1888	4/5	0	match
slides/batch-016/pptx/Technical_Report_Elements[1].pptx	pptx	39/39	1428/1432	4/5	0	match
slides/batch-016/pptx/redac-nasops-201503-RIRP-portfolio-update.pptx	pptx	46/46	2790/2790	10/9	0	match
slides/batch-016/pptx/servicedesk-plus-overviewfinal.pptx	pptx	66/66	1907/1906	3/3	0	match
slides/batch-016/pptx/vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment.pptx	pptx	33/33	1299/1300	4/5	0	match
slides/batch-017/ppt/Architecture.ppt	ppt	29/29	845/847	4/4	0	match
slides/batch-017/pptx/1200-Assigning-Club-officers.pptx	pptx	16/16	163/163	7/7	0	match
slides/batch-017/pptx/Demick_JetBlue.pptx	pptx	10/10	713/617	4/4	0	words
slides/batch-017/pptx/RPA P4 - Advanced Material.pptx	pptx	20/20	1487/1499	5/6	0	match
slides/batch-017/pptx/Wildlife for REDAC September 11.pptx	pptx	41/41	1568/1545	9/11	0	match
